report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,route_type,road_name,cross_street_type,cross_street_name,off_road_description,municipality,related_non_motorist,collision_type,weather,surface_condition,light,traffic_control,driver_substance_abuse,non_motorist_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,latitude,longitude,geolocation
DM8476001B,200038901,Takoma Park Police Depart,Property Damage Crash,2020-10-03T06:59:00.000,Maryland (State),PINEY BRANCH RD,Unknown,IN CORP LMTS TAKOMA PARK,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAWN,,,,9A5652A0-9C3C-4369-B4CB-3682321DE12C,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,A8B78F98-A823-48C0-BE7B-2A0DE841BA85,FUNCTIONAL,SEVEN OCLOCK,SEVEN OCLOCK,PASSENGER CAR,BACKING,East,East,30,No,No,2013,VOLK,SW,,38.7999138,-77.017778,"
,  
(38.7999138, -77.017778)"
MCP22000004,200038893,Montgomery County Police,Property Damage Crash,2020-10-03T02:03:00.000,Municipality,DUVALL LA,Unknown,CUL DE SAC,,,,OTHER,CLEAR,DRY,DARK LIGHTS ON,,ALCOHOL PRESENT,,1C966433-A5DC-4669-9460-142369D98261,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,67B5D238-0DC2-40C7-9841-9E63D608921B,FUNCTIONAL,ELEVEN OCLOCK,ELEVEN OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,East,25,No,No,1999,FORD,EXPLORER,NO MISUSE,39.12952533,-77.20082283,"
,  
(39.12952533, -77.20082283)"
MCP3251000K,200038892,Montgomery County Police,Property Damage Crash,2020-10-03T01:31:00.000,Maryland (State),CLOPPER RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,069447DC-0B7A-453D-8476-21886B4AAE79,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,017616C2-558D-4352-8075-92C6CCB3EC5A,DISABLING,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2015,JEEP,GRAND CHEROKEE,NO MISUSE,39.14383,-77.223905,"
,  
(39.14383, -77.223905)"
MCP3251000K,200038892,Montgomery County Police,Property Damage Crash,2020-10-03T01:31:00.000,Maryland (State),CLOPPER RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,7B5814F3-8ABD-41E9-8544-3BF7026AEABF,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,5BB2F676-B423-465A-8A23-919D53082310,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,East,East,35,No,No,2012,FORD,FIESTA,NO MISUSE,39.14383,-77.223905,"
,  
(39.14383, -77.223905)"
MCP27200053,200038883,Montgomery County Police,Property Damage Crash,2020-10-02T23:42:00.000,Maryland (State),CONNECTICUT AVE,County,CONNECTICUT AVE SERVICE RD,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,7CB8E3CB-059A-4C17-9568-DDA0EB0787FA,Yes,NO APPARENT INJURY,,UNKNOWN,,5EE0E2BB-A814-42D5-87F7-56A33C0B75C2,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,45,No,No,2002,ACURA,4S,UNKNOWN,39.05767612,-77.07322791,"
,  
(39.05767612, -77.07322791)"
MCP2849003P,200038871,Montgomery County Police,Property Damage Crash,2020-10-02T21:05:00.000,Maryland (State),CLOPPER RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,A7F03BA0-3155-4DF9-8AFB-6F613F9630DD,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,CDFCFDB0-D567-476A-A586-7FA80BC97A9E,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STARTING FROM LANE,West,West,30,No,No,2002,NISSAN,PICK UP,NO MISUSE,39.14422577,-77.22495092,"
,  
(39.14422577, -77.22495092)"
MCP2849003P,200038871,Montgomery County Police,Property Damage Crash,2020-10-02T21:05:00.000,Maryland (State),CLOPPER RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,,057E2D6D-F0E3-49D4-A02F-445BBB5657C9,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,MD,D9E8C974-CF17-4453-B5FA-0F03394857F1,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,30,No,No,1999,MAZDA,MIATA,NO MISUSE,39.14422577,-77.22495092,"
,  
(39.14422577, -77.22495092)"
MCP3158002W,200038862,Montgomery County Police,Injury Crash,2020-10-02T19:50:00.000,County,EMORY GROVE RD,County,STRAWBERRY KNOLL RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,E13B2512-4893-4F3E-B26A-5EECEF5A2C21,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,3FB17B57-EFFC-4335-84EC-144C09B32664,FUNCTIONAL,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,No,No,2006,NISS,4S,NO MISUSE,39.15946667,-77.18569667,"
,  
(39.15946667, -77.18569667)"
MCP3158002W,200038862,Montgomery County Police,Injury Crash,2020-10-02T19:50:00.000,County,EMORY GROVE RD,County,STRAWBERRY KNOLL RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,23DB18FC-2A5E-4E30-8977-FC15E7535B54,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,227F10AA-3FB9-4A4F-9344-7AA6FAB95E81,FUNCTIONAL,TWELVE OCLOCK,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,South,35,No,No,2017,NISSAN,ROUGE,NO MISUSE,39.15946667,-77.18569667,"
,  
(39.15946667, -77.18569667)"
MCP2783003N,200038852,Montgomery County Police,Injury Crash,2020-10-02T18:49:00.000,Maryland (State),GEORGIA AVE,County,WINDHAM LA,,,PEDESTRIAN,,CLEAR,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,NONE DETECTED,,10ECAE6B-81C9-48BC-B514-C0C3396FD7EA,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FCA1A5EA-813C-436D-B927-F26F4637DAE5,SUPERFICIAL,TWO OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,No,No,2013,TOYOTA,SCION,NO MISUSE,39.03258121,-77.04861901,"
,  
(39.03258121, -77.04861901)"
MCP26070054,200038851,Montgomery County Police,Injury Crash,2020-10-02T18:20:00.000,County,CENTRAL AVE,County,OAKMONT AVE,,,,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,952B1778-4074-498F-B010-050D4C0C3783,Yes,SUSPECTED MINOR INJURY,,SMOKING RELATED,MD,83BA372F-8261-43D0-837F-0077645CC297,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,West,30,No,No,2015,CHEVY,MALIBU,NO MISUSE,39.135034999999995,-77.17937167,"
,  
(39.135035, -77.17937167)"
MCP26070054,200038851,Montgomery County Police,Injury Crash,2020-10-02T18:20:00.000,County,CENTRAL AVE,County,OAKMONT AVE,,,,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E305B636-0A69-4174-B3CB-0791E1EEE1C7,No,SUSPECTED SERIOUS INJURY,,NOT DISTRACTED,MD,329F2A19-FDB5-4288-ACFD-945656E5AC39,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,30,No,No,2014,TOYT,4S,NO MISUSE,39.135034999999995,-77.17937167,"
,  
(39.135035, -77.17937167)"
MCP1210004N,200038855,Montgomery County Police,Injury Crash,2020-10-02T18:19:00.000,Maryland (State),S FREDERICK RD,Municipality,E DEER PARK DR,,GAITHERSBURG,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,99B6208F-A387-4E87-9558-E907A7B4A365,Yes,NO APPARENT INJURY,,UNKNOWN,MD,8338F932-E03B-4978-8793-B791A87F4B0B,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2015,CHEVROLET,MALIBU,UNKNOWN,39.132177399999996,-77.18876362,"
,  
(39.1321774, -77.18876362)"
MCP1210004N,200038855,Montgomery County Police,Injury Crash,2020-10-02T18:19:00.000,Maryland (State),S FREDERICK RD,Municipality,E DEER PARK DR,,GAITHERSBURG,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,DAF8C4AB-6EB7-4650-8A7C-DF81B5F1145E,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,8F4A13E9-FC56-468A-A87B-868DA5376853,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,North,35,No,No,1999,HONDA,ACCORD,NO MISUSE,39.132177399999996,-77.18876362,"
,  
(39.1321774, -77.18876362)"
MCP1210004P,200038847,Montgomery County Police,Property Damage Crash,2020-10-02T17:55:00.000,Municipality,E DIAMOND AVE,Municipality,RUSSELL AVE,,GAITHERSBURG,,SAME DIRECTION LEFT TURN,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,09F81B56-F502-497B-AEA6-F9298ECEA3D5,Yes,NO APPARENT INJURY,,UNKNOWN,MD,6D0E53BF-C22C-4E92-98BD-5C1A52AE2301,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,PASSING,West,West,30,No,No,2017,HONDA,CIVIC,NO MISUSE,39.1418385,-77.19678217,"
,  
(39.1418385, -77.19678217)"
MCP1210004P,200038847,Montgomery County Police,Property Damage Crash,2020-10-02T17:55:00.000,Municipality,E DIAMOND AVE,Municipality,RUSSELL AVE,,GAITHERSBURG,,SAME DIRECTION LEFT TURN,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,8A0A9367-2903-45A3-978B-2408360DDD6C,No,NO APPARENT INJURY,,UNKNOWN,MD,05EBA91A-E740-4F3D-BF67-E7F003ED885F,SUPERFICIAL,EIGHT OCLOCK,EIGHT OCLOCK,FIRE VEHICLE/EMERGENCY,STOPPED IN TRAFFIC LANE,South,West,30,No,No,2015,CHEVROLET,SILVERADO,NO MISUSE,39.1418385,-77.19678217,"
,  
(39.1418385, -77.19678217)"
MCP2849003N,200038843,Montgomery County Police,Property Damage Crash,2020-10-02T17:35:00.000,County,LONGDRAFT RD,County,SIOUX LA,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,7F2DBED4-9401-42BF-AFDA-B37EBE5D44F1,No,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,MD,C5B2879B-CDDE-4571-8299-1FAC8C7DB700,DISABLING,FOUR OCLOCK,FOUR OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,30,No,No,2010,TOYOTA,CAMRY,NO MISUSE,39.1298,-77.24462667,"
,  
(39.1298, -77.24462667)"
MCP2849003N,200038843,Montgomery County Police,Property Damage Crash,2020-10-02T17:35:00.000,County,LONGDRAFT RD,County,SIOUX LA,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,F8B5CF8D-894B-4F3C-B68B-DA83CC4F9BB7,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",LOOKED BUT DID NOT SEE,MD,9D7CA05C-0014-44C9-8953-C274DE9146FF,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,West,West,25,No,No,2011,HYUNDAI,SONATA,NO MISUSE,39.1298,-77.24462667,"
,  
(39.1298, -77.24462667)"
HA24760007,20002385,Maryland-National Capital,Property Damage Crash,2020-10-02T16:18:00.000,Maryland (State),GEORGIA AVE,County,PLYERS MILL RD,,,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,3C9BFB56-F116-4875-96DA-7E0803027256,Unknown,NO APPARENT INJURY,"DEBRIS OR OBSTRUCTION, N/A",NOT DISTRACTED,MD,F2377C9C-F2BF-4C05-8118-70ABADBDCA90,DISABLING,TEN OCLOCK,TEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,No,No,2013,FORD,4S,NO MISUSE,39.03110986,-77.04810129,"
,  
(39.03110986, -77.04810129)"
MCP3196001D,200038827,Montgomery County Police,Injury Crash,2020-10-02T16:00:00.000,Maryland (State),GREAT SENECA HWY,County,MIDDLEBROOK RD,,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,,,,02EC2101-5A79-46CC-91B0-141C7B4EF071,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FF38FBC3-7C4B-41FF-8E53-7C89A4E2B7E9,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,50,No,No,2017,INFINITY,CP,,39.17334267,-77.26177117,"
,  
(39.17334267, -77.26177117)"
MCP3196001D,200038827,Montgomery County Police,Injury Crash,2020-10-02T16:00:00.000,Maryland (State),GREAT SENECA HWY,County,MIDDLEBROOK RD,,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,,,,443CE67F-A6C4-4A79-887E-B90580E7E1DB,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,4284DA30-BF1E-4833-A0B4-258173BE867C,DISABLING,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,50,No,No,2009,MERCURY,4S,,39.17334267,-77.26177117,"
,  
(39.17334267, -77.26177117)"
MCP3196001D,200038827,Montgomery County Police,Injury Crash,2020-10-02T16:00:00.000,Maryland (State),GREAT SENECA HWY,County,MIDDLEBROOK RD,,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,,,,C668CC3F-A3EA-47C7-AD04-D96B2B6FDD7D,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,702A15D6-EC84-4423-A79F-AA683A805C39,DISABLING,SIX OCLOCK,SIX OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,North,North,50,No,No,2003,FORD,TK,,39.17334267,-77.26177117,"
,  
(39.17334267, -77.26177117)"
MCP3196001D,200038827,Montgomery County Police,Injury Crash,2020-10-02T16:00:00.000,Maryland (State),GREAT SENECA HWY,County,MIDDLEBROOK RD,,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,,,,70B8787F-2CE9-4551-98EB-6662192AA710,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,31BDDC62-BB46-4070-8D13-5F535E40D175,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,VAN,MOVING CONSTANT SPEED,North,North,50,No,No,2005,CHEV,VN,,39.17334267,-77.26177117,"
,  
(39.17334267, -77.26177117)"
MCP2496001T,200038805,Montgomery County Police,Injury Crash,2020-10-02T12:40:00.000,Maryland (State),GEORGIA AVE,County,TILTON DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E69484EA-63C3-4194-B0D2-AA5D80165A04,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,6EDEB911-8508-4A30-AE6F-5B62E67BFA18,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,45,No,No,2015,TOYOTA,COROLLA,NO MISUSE,39.01823333,-77.04374167,"
,  
(39.01823333, -77.04374167)"
MCP2496001T,200038805,Montgomery County Police,Injury Crash,2020-10-02T12:40:00.000,Maryland (State),GEORGIA AVE,County,TILTON DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,46BFF504-27E7-49D0-A974-E06A62BD8486,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,F914918C-D54E-4297-B3D8-B8913CD2704A,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,South,45,No,No,2020,HONDA,TK,NO MISUSE,39.01823333,-77.04374167,"
,  
(39.01823333, -77.04374167)"
MCP3057002V,200038801,Montgomery County Police,Property Damage Crash,2020-10-02T12:20:00.000,County,WISTERIA DR,Maryland (State),GERMANTOWN RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,4006075D-52A1-428D-9D84-FFC404196C46,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,459BECD4-7564-48A1-B709-60844EEDD53B,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,South,25,No,No,1999,TOYT,4D,,39.177644,-77.271322,"
,  
(39.177644, -77.271322)"
MCP3057002V,200038801,Montgomery County Police,Property Damage Crash,2020-10-02T12:20:00.000,County,WISTERIA DR,Maryland (State),GERMANTOWN RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,7EC65C90-3A57-4094-B8F6-E4A20A2913B6,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,870E0035-5A24-4E39-BDA2-81D1411B4EA8,DISABLING,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,25,No,No,2020,CHEVROLET,TRAX,,39.177644,-77.271322,"
,  
(39.177644, -77.271322)"
MCP94420020,200038819,Montgomery County Police,Injury Crash,2020-10-02T12:00:00.000,,,,,PARKING LOT OF 19200 MONTGOMERY VILLAGE AVE,,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,,NONE DETECTED,NONE DETECTED,8FF0DCC1-4624-4E46-8439-1905EE13DDA4,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,4BDB5194-5362-496B-8C56-DF1658032D3E,NO DAMAGE,TEN OCLOCK,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,East,15,No,No,2008,HONDA,PILOT,,39.17182833,-77.20483833,"
,  
(39.17182833, -77.20483833)"
MCP2598003B,200038774,Montgomery County Police,Property Damage Crash,2020-10-02T10:42:00.000,,LITTLE SENECA PARKWAY,,ARORA HILLS DRIVE,,,,STRAIGHT MOVEMENT ANGLE,,,,,,,05A0AB37-0795-4C83-A6E6-0CC86EEC249C,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,F0267039-9F89-4613-8C9B-132CDB8DF72D,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,POLICE VEHICLE/NON EMERGENCY,PARKING,East,East,35,No,No,2016,HYUNDAI,AZERA,NO MISUSE,39.23189822,-77.24890661,"
,  
(39.23189822, -77.24890661)"
EJ7866008S,200038773,Gaithersburg Police Depar,Injury Crash,2020-10-02T10:30:00.000,,,,,211 N FREDERICK AVE,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,2D8300EC-C4BB-4184-8346-9EB97AE76B2B,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,912FA2B9-771E-4E31-9D4E-3E1A8E48111F,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ENTERING TRAFFIC LANE,West,West,5,No,No,2012,NISS,PATHFINDER,NO MISUSE,39.14459353,-77.20184705,"
,  
(39.14459353, -77.20184705)"
MCP14650055,200038770,Montgomery County Police,Property Damage Crash,2020-10-02T10:09:00.000,Maryland (State),FALLS RD,County,MARSEILLE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,04D551B5-6C34-44C5-A120-1431BCACCE49,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,1CA11F31-7C0A-4760-A8D8-386029EC79B2,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",SLOWING OR STOPPING,South,South,35,No,No,2017,FORD,MAIL,NO MISUSE,39.04390833,-77.192565,"
,  
(39.04390833, -77.192565)"
MCP14650055,200038770,Montgomery County Police,Property Damage Crash,2020-10-02T10:09:00.000,Maryland (State),FALLS RD,County,MARSEILLE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,DFF3A2F2-7D7B-4463-8C9A-E1DA0ABDB877,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,9C95C884-82D5-4995-A0AB-AAEEB93EC54C,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",STOPPED IN TRAFFIC LANE,South,South,35,No,No,2000,GMC,BOX,NO MISUSE,39.04390833,-77.192565,"
,  
(39.04390833, -77.192565)"
MCP12120028,200038767,Montgomery County Police,Property Damage Crash,2020-10-02T10:02:00.000,Maryland (State),FREDERICK RD,County,CLARKSBURG RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,035416D6-0E4B-491D-8348-E9373574BBF4,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,58E2656E-6659-40B7-A70C-B84FA5098D39,DISABLING,ONE OCLOCK,ONE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,35,No,No,2016,NISSAN,ROGUE,NO MISUSE,39.24201667,-77.28437833,"
,  
(39.24201667, -77.28437833)"
MCP12120028,200038767,Montgomery County Police,Property Damage Crash,2020-10-02T10:02:00.000,Maryland (State),FREDERICK RD,County,CLARKSBURG RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,DE4F096B-2592-4C5F-AF66-3BB8EF2CC342,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,8DEF7BAB-1B03-4E1A-8204-65FBC79826F1,FUNCTIONAL,ELEVEN OCLOCK,ELEVEN OCLOCK,PICKUP TRUCK,MAKING U TURN,South,North,35,No,No,2019,DODGE,1500,NO MISUSE,39.24201667,-77.28437833,"
,  
(39.24201667, -77.28437833)"
MCP1099003H,200038758,Montgomery County Police,Injury Crash,2020-10-02T09:24:00.000,Maryland (State),OLNEY LAYTONSVILLE RD,County,MUNCASTER RD,,,,HEAD ON LEFT TURN,CLEAR,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,3081886F-8495-4B12-9D51-775307713DF0,Yes,POSSIBLE INJURY,"N/A, WET",LOOKED BUT DID NOT SEE,MD,3A365072-DC05-4C84-A67E-CD78F45A19B4,DISABLING,ELEVEN OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,East,50,No,No,2014,TOYOTA,4S,NO MISUSE,39.18358667,-77.11251833,"
,  
(39.18358667, -77.11251833)"
MCP1099003H,200038758,Montgomery County Police,Injury Crash,2020-10-02T09:24:00.000,Maryland (State),OLNEY LAYTONSVILLE RD,County,MUNCASTER RD,,,,HEAD ON LEFT TURN,CLEAR,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,7E3C312C-4CC9-4F5B-9722-90BBCF7436DB,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,3EF49539-9A24-41C3-9C03-977DC4A1788E,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,50,No,No,2017,HOND,TK,NO MISUSE,39.18358667,-77.11251833,"
,  
(39.18358667, -77.11251833)"
MCP3064003B,200038747,Montgomery County Police,Property Damage Crash,2020-10-02T09:05:00.000,County,RANDOLPH RD,County,KEMP MILL RD,,,,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,195F590C-1953-4C23-A25E-9946789518B7,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,9708D2EB-8E45-4116-B8AE-5F497D818FF6,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,45,No,No,2002,CHRYSLER,SEBRING,,39.06660333,-77.03130999999999,"
,  
(39.06660333, -77.03131)"
MCP3064003B,200038747,Montgomery County Police,Property Damage Crash,2020-10-02T09:05:00.000,County,RANDOLPH RD,County,KEMP MILL RD,,,,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,90FAFC92-D85D-456A-809A-584C0A05E79D,Yes,NO APPARENT INJURY,,UNKNOWN,MD,2C6AB8D6-A4D0-4B91-8D71-A8285E63231D,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,East,45,No,No,2017,TOYOTA,RAV4,,39.06660333,-77.03130999999999,"
,  
(39.06660333, -77.03131)"
EJ7866008R,200038743,Gaithersburg Police Depar,Property Damage Crash,2020-10-02T08:50:00.000,Municipality,ODENDHAL AVE,Maryland (State),FREDERICK RD,,,,SINGLE VEHICLE,CLEAR,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,99F292F6-16ED-4907-A13E-38D0CDDCA121,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,5876F402-9613-424E-9AB0-693D59F4DFAF,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,East,East,30,No,No,2004,DODGE,RAM 1500,NO MISUSE,39.14882442,-77.20624865,"
,  
(39.14882442, -77.20624865)"
MCP12120027,200038744,Montgomery County Police,Injury Crash,2020-10-02T08:40:00.000,Maryland (State),CLARKSBURG RD,Ramp,RAMP 1 FR RAMP 4 (FR IS270) TO MD 121 WB,,,,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,053D9A3C-CCB5-41F0-9BE4-E147F6A832CB,No,POSSIBLE INJURY,"N/A, WET",NOT DISTRACTED,MD,4ED9B087-6237-46B4-8F97-6EC74DA12460,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,North,40,No,No,2017,KIA,SUV,NO MISUSE,39.23297333,-77.28377167,"
,  
(39.23297333, -77.28377167)"
